ID,Combined_Score,Bin
NGC 6218,0.0,Possible
NGC 6254,0.0,Possible
NGC 6256,0.0,Possible
NGC 6266,0.0,Possible
NGC 6284,0.0,Possible
NGC 6304,0.0,Possible
NGC 6316,0.0,Possible
NGC 6341,0.0,Possible
NGC 6356,0.0,Possible
NGC 6352,0.0,Possible
Terzan 2,0.0,Possible
NGC 6362,0.0,Possible
Liller 1,0.0,Possible
NGC 6380,0.0,Possible
Terzan 1,0.0,Possible
Ton 2,0.0,Possible
NGC 6388,0.0,Possible
NGC 6401,0.0,Possible
NGC 6397,0.0,Possible
Pal 6,0.0,Possible
Djorg 1,0.0,Possible
Terzan 5,0.0,Possible
NGC 6440,0.0,Possible
NGC 6441,0.0,Possible
Terzan 6,0.0,Possible
NGC 6453,0.0,Possible
UKS 1,0.0,Possible
NGC 6496,0.0,Possible
Terzan 9,0.0,Possible
Djorg 2,0.0,Possible
NGC 6517,0.0,Possible
Terzan 10,0.0,Possible
NGC 6535,0.0,Possible
NGC 6539,0.0,Possible
NGC 6540,0.0,Possible
NGC 6544,0.0,Possible
NGC 6553,0.0,Possible
IC 1276,0.0,Possible
Terzan 12,0.0,Possible
NGC 6569,0.0,Possible
NGC 6584,0.0,Possible
NGC 6626,0.0,Possible
NGC 6638,0.0,Possible
NGC 6642,0.0,Possible
NGC 6656,0.0,Possible
Pal 8,0.0,Possible
NGC 6712,0.0,Possible
NGC 6717,0.0,Possible
NGC 6749,0.0,Possible
NGC 6752,0.0,Possible
NGC 6760,0.0,Possible
NGC 6779,0.0,Possible
Pal 10,0.0,Possible
Pal 11,0.0,Possible
NGC 6838,0.0,Possible
,0.0,Possible
ID,0.0,Possible
NGC 4372,-1.0,Possible
NGC 5139,-1.0,Possible
Terzan 3,-1.0,Possible
NGC 6366,-1.0,Possible
NGC 6809,-1.0,Possible
Ko 2,-1.0,Possible
IC 1257,-1.0,Possible
ESO-SC06,-1.0,Possible
NGC4590,-1.0,Possible
NGC5024,-1.0,Possible
NGC5466,-1.0,Possible
NGC6121,-1.0,Possible
NGC6144,-1.0,Possible
NGC6171,-1.0,Possible
NGC6218,-1.0,Possible
NGC6341,-1.0,Possible
NGC6362,-1.0,Possible
NGC6388,-1.0,Possible
NGC6397,-1.0,Possible
NGC6441,-1.0,Possible
NGC6496,-1.0,Possible
NGC6541,-1.0,Possible
NGC6624,-1.0,Possible
NGC6652,-1.0,Possible
NGC6656,-1.0,Possible
NGC6681,-1.0,Possible
NGC6717,-1.0,Possible
NGC6723,-1.0,Possible
NGC6752,-1.0,Possible
NGC6779,-1.0,Possible
NGC6809,-1.0,Possible
NGC7078,-1.0,Possible
NGC7099,-1.0,Possible
Terzan7,-1.0,Possible
Palomar12,-1.0,Possible
E 3,-2.0,Unlikely
Lynga 7,-5.0,Unlikely
FSR 1735,-5.0,Unlikely
Terzan 4,-5.0,Unlikely
2MS-GC01,-5.0,Unlikely
2MS-GC02,-5.0,Unlikely
BH 261,-5.0,Unlikely
GLIMPSE02,-5.0,Unlikely
GLIMPSE01,-5.0,Unlikely
